X,Y,Z,% of ICNIRP Public,
12.4062,17.7,3.9,0.293119,
12.4062,20.625,3.9,0.262966,
7.84375,20.625,3.9,0.38213,
7.84375,23.55,3.9,0.315636,
7.84375,8.925,3.9,0.736078,
10.125,8.925,3.9,0.466181,
7.84375,11.85,3.9,0.665173,
16.9688,8.925,3.9,0.147269,
19.25,8.925,3.9,0.107997,
16.9688,11.85,3.9,0.167271,
16.9688,6,3.9,0.117895,
14.6875,8.925,3.9,0.207308,
21.5312,6,3.9,0.065215,
21.5312,8.925,3.9,0.081924,
28.375,-2.775,3.9,0.0150865,
30.6562,-5.7,3.9,0.0100175,
30.6562,-2.775,3.9,0.013296,
26.0938,-2.775,3.9,0.0172662,
26.0938,0.15,3.9,0.0237979,
32.9375,70.35,3.9,0.0305319,
37.5,70.35,3.9,0.027096,
32.9375,64.5,3.9,0.0335301,
37.5,58.65,3.9,0.0319345,
28.375,79.125,3.9,0.0287841,
30.6562,76.2,3.9,0.028738,
30.6562,79.125,3.9,0.0274024,
19.25,79.125,3.9,0.0329736,
21.5312,76.2,3.9,0.033981,
21.5312,79.125,3.9,0.0321093,
30.6562,41.1,3.9,0.0519164,
30.6562,38.175,3.9,0.0542474,
32.9375,38.175,3.9,0.0477957,
30.6562,29.4,3.9,0.0565262,
30.6562,26.475,3.9,0.0565398,
32.9375,26.475,3.9,0.0485738,
28.375,20.625,3.9,0.0628665,
30.6562,17.7,3.9,0.0491944,
30.6562,20.625,3.9,0.0519333,
26.0938,20.625,3.9,0.0760331,
26.0938,23.55,3.9,0.0772074,
30.6562,14.775,3.9,0.0441381,
32.9375,14.775,3.9,0.037456,
30.6562,6,3.9,0.0276312,
30.6562,3.075,3.9,0.0223273,
32.9375,3.075,3.9,0.0190472,
28.375,8.925,3.9,0.0405464,
30.6562,8.925,3.9,0.0333745,
-35.5,3.075,3.9,0.0162256,
-33.2188,0.15,3.9,0.0147352,
-33.2188,3.075,3.9,0.0188481,
-30.9375,-2.775,3.9,0.0128801,
-28.6562,-5.7,3.9,0.0107398,
-30.9375,3.075,3.9,0.0221559,
-28.6562,3.075,3.9,0.0263982,
-28.6562,82.05,3.9,0.0277891,
-28.6562,79.125,3.9,0.0292037,
-26.375,44.025,3.9,0.0640148,
-24.0938,41.1,3.9,0.075194,
-24.0938,44.025,3.9,0.0703959,
-28.6562,44.025,3.9,0.0576501,
-28.6562,46.95,3.9,0.0551394,
-8.125,44.025,3.9,0.113441,
-5.84375,41.1,3.9,0.134168,
-5.84375,44.025,3.9,0.117445,
-10.4062,44.025,3.9,0.109132,
-10.4062,46.95,3.9,0.0981717,
10.125,44.025,3.9,0.107006,
12.4062,44.025,3.9,0.100446,
7.84375,44.025,3.9,0.112592,
7.84375,46.95,3.9,0.0996217,
28.375,44.025,3.9,0.0557029,
30.6562,44.025,3.9,0.0507007,
26.0938,44.025,3.9,0.061239,
26.0938,46.95,3.9,0.0577416,
1,3.075,3.9,6.35689,
3.28125,0.15,3.9,0.811475,
3.28125,3.075,3.9,2.61772,
-1.28125,3.075,3.9,7.35748,
-3.5625,3.075,3.9,3.28173,
5.5625,-2.775,3.9,0.10868,
7.84375,-5.7,3.9,0.0332964,
5.5625,3.075,3.9,1.06272,
7.84375,3.075,3.9,0.512617,
-5.84375,3.075,3.9,1.28873,
-5.84375,6,3.9,1.5501,
-5.84375,8.925,3.9,1.32005,
-5.84375,11.85,3.9,1.002,
7.84375,82.05,3.9,0.0344316,
7.84375,79.125,3.9,0.0369742,
7.84375,41.1,3.9,0.127604,
7.84375,38.175,3.9,0.144186,
10.125,38.175,3.9,0.136285,
5.5625,44.025,3.9,0.117029,
3.28125,46.95,3.9,0.105667,
7.84375,35.25,3.9,0.167124,
12.4062,35.25,3.9,0.142415,
-35.5,26.475,3.9,0.042689,
-33.2188,23.55,3.9,0.0484343,
-33.2188,26.475,3.9,0.0501005,
-30.9375,20.625,3.9,0.0542411,
-28.6562,17.7,3.9,0.0619621,
-17.25,3.075,3.9,0.0890751,
