X,Y,Z,% of ICNIRP Public,
-19.6,2.3125,3.9,0.0588043,
-18.35,0.75,3.9,0.0543789,
-18.35,2.3125,3.9,0.0685485,
-14.6,-3.9375,3.9,0.034302,
-13.35,-5.5,3.9,0.0267233,
-13.35,-3.9375,3.9,0.0380711,
-15.85,-3.9375,3.9,0.0309643,
-15.85,-2.375,3.9,0.0423916,
-15.85,-10.1875,3.9,0.00938515,
-14.6,-10.1875,3.9,0.00928375,
-15.85,-8.625,3.9,0.0124681,
-10.85,-10.1875,3.9,0.00817,
-9.6,-10.1875,3.9,0.00718613,
-10.85,-8.625,3.9,0.0126,
-10.85,-11.75,3.9,0.0052938,
-12.1,-10.1875,3.9,0.0087878,
-8.35,-11.75,3.9,0.0037576,
-8.35,-10.1875,3.9,0.00595669,
-4.6,-16.4375,3.9,0.00243916,
-3.35,-18,3.9,0.00252092,
-3.35,-16.4375,3.9,0.00290867,
-5.85,-16.4375,3.9,0.00196051,
-5.85,-14.875,3.9,0.00219128,
-15.85,2.3125,3.9,0.0966913,
-14.6,2.3125,3.9,0.117504,
-15.85,3.875,3.9,0.122218,
-10.85,2.3125,3.9,0.245626,
-9.6,2.3125,3.9,0.330815,
-10.85,3.875,3.9,0.322195,
-10.85,0.75,3.9,0.172437,
-12.1,2.3125,3.9,0.188626,
-5.85,-5.5,3.9,0.0263909,
-5.85,-3.9375,3.9,0.0583442,
-7.1,-3.9375,3.9,0.0580311,
-5.85,0.75,3.9,0.631994,
-5.85,2.3125,3.9,1.08778,
-7.1,2.3125,3.9,0.687828,
-4.6,-0.8125,3.9,0.35816,
-5.85,-0.8125,3.9,0.288384,
-3.35,32,3.9,0.224498,
-3.35,30.4375,3.9,0.246038,
-2.1,30.4375,3.9,0.250652,
-3.35,25.75,3.9,0.335775,
-3.35,24.1875,3.9,0.378331,
-2.1,24.1875,3.9,0.39047,
-4.6,27.3125,3.9,0.296117,
-3.35,27.3125,3.9,0.299961,
-9.6,27.3125,3.9,0.247317,
-8.35,25.75,3.9,0.284958,
-8.35,27.3125,3.9,0.261503,
-4.6,21.0625,3.9,0.471314,
-3.35,19.5,3.9,0.566387,
-3.35,21.0625,3.9,0.491257,
-5.85,21.0625,3.9,0.446498,
-5.85,22.625,3.9,0.394751,
-3.35,17.9375,3.9,0.657759,
-2.1,17.9375,3.9,0.680603,
-4.6,14.8125,3.9,0.843907,
-3.35,13.25,3.9,1.10597,
-3.35,14.8125,3.9,0.916034,
0.4,27.3125,3.9,0.310113,
1.65,25.75,3.9,0.341465,
1.65,27.3125,3.9,0.306293,
5.4,21.0625,3.9,0.434417,
6.65,19.5,3.9,0.449939,
6.65,21.0625,3.9,0.40191,
4.15,21.0625,3.9,0.45863,
4.15,22.625,3.9,0.408499,
4.15,14.8125,3.9,0.815309,
5.4,14.8125,3.9,0.728205,
4.15,16.375,3.9,0.698785,
9.15,14.8125,3.9,0.477018,
10.4,14.8125,3.9,0.40828,
9.15,16.375,3.9,0.439239,
9.15,13.25,3.9,0.515632,
7.9,14.8125,3.9,0.553811,
-19.6,27.3125,3.9,0.130946,
-18.35,25.75,3.9,0.148589,
-18.35,27.3125,3.9,0.142497,
-14.6,21.0625,3.9,0.229412,
-13.35,19.5,3.9,0.271366,
-13.35,21.0625,3.9,0.261003,
-15.85,21.0625,3.9,0.206437,
-15.85,22.625,3.9,0.19642,
-15.85,14.8125,3.9,0.22559,
-14.6,14.8125,3.9,0.266456,
-15.85,16.375,3.9,0.224916,
-10.85,14.8125,3.9,0.428659,
-9.6,14.8125,3.9,0.508485,
-10.85,16.375,3.9,0.407022,
-10.85,13.25,3.9,0.455198,
-12.1,14.8125,3.9,0.366007,
-8.35,13.25,3.9,0.651699,
-8.35,14.8125,3.9,0.590406,
-4.6,2.3125,3.9,1.82143,
-5.85,3.875,3.9,1.4273,
-0.85,2.3125,3.9,8.02757,
0.4,2.3125,3.9,7.4144,
-0.85,3.875,3.9,6.94484,
-0.85,0.75,3.9,22.842,
-2.1,2.3125,3.9,5.54268,
1.65,0.75,3.9,2.20143,
1.65,2.3125,3.9,4.71665,
5.4,-3.9375,3.9,0.0654585,
6.65,-5.5,3.9,0.0354812,
6.65,-3.9375,3.9,0.0626173,
4.15,-3.9375,3.9,0.0610385,
4.15,-2.375,3.9,0.140975,
4.15,-10.1875,3.9,0.00391734,
