X,Y,Z,% of FCC OET 65 Public,
-11.9813,-21.2875,3.9,0.000689736,
-11.9813,-18.7188,3.9,0.000981336,
-11.0375,-18.7188,3.9,0.000920399,
-10.0938,45.5,3.9,0.0783282,
-10.0938,42.9313,3.9,0.0862195,
-9.15,42.9313,3.9,0.0881881,
-10.0938,40.3625,3.9,0.0958683,
-10.0938,37.7937,3.9,0.107676,
-10.0938,35.225,3.9,0.120428,
-8.20625,40.3625,3.9,0.100001,
-7.2625,37.7937,3.9,0.11427,
-6.31875,35.225,3.9,0.133394,
-16.7,22.3813,3.9,0.138778,
-15.7563,19.8125,3.9,0.161486,
-15.7563,22.3813,3.9,0.149595,
-14.8125,17.2437,3.9,0.187073,
-13.8688,14.675,3.9,0.219169,
-12.925,12.1063,3.9,0.255177,
-11.9813,9.5375,3.9,0.291453,
-11.0375,6.96875,3.9,0.317437,
